dataset,method,estimated_ate,true_ate,bias,absolute_bias,relative_error_pct,run,confounding_strength
semi_synthetic,DML,0.0940353711566506,0.0363147393165001,0.0577206318401505,0.0577206318401505,158.9454665696149,3,1.0
semi_synthetic,Causal Forest,0.0910122278551045,0.0363147393165001,0.0546974885386044,0.0546974885386044,150.62062834016209,3,1.0
semi_synthetic,Naive,0.1101535792415867,0.0367664123191243,0.0733871669224623,0.0733871669224623,199.60382940135105,4,1.0
semi_synthetic,OLS,0.0926587719949393,0.0367664123191243,0.0558923596758149,0.0558923596758149,152.02016229019438,4,1.0
semi_synthetic,IPW,0.0930343887599074,0.0367664123191243,0.056267976440783,0.056267976440783,153.04179247186087,4,1.0
semi_synthetic,DML,0.0969759932719783,0.0367664123191243,0.0602095809528539,0.0602095809528539,163.76245914409049,4,1.0
semi_synthetic,Causal Forest,0.0951764128613637,0.0367664123191243,0.0584100005422393,0.0584100005422393,158.86782761193382,4,1.0
semi_synthetic,Naive,0.1183031388092036,0.0365220815061585,0.081781057303045,0.081781057303045,223.92222439253533,5,1.0
semi_synthetic,OLS,0.0982773181906097,0.0365220815061585,0.0617552366844511,0.0617552366844511,169.09013434526602,5,1.0
semi_synthetic,IPW,0.0984406679596755,0.0365220815061585,0.0619185864535169,0.0619185864535169,169.5373973771889,5,1.0
semi_synthetic,DML,0.0973523938024683,0.0365220815061585,0.0608303122963097,0.0608303122963097,166.55762702367366,5,1.0
semi_synthetic,Causal Forest,0.0956079592490079,0.0365220815061585,0.0590858777428493,0.0590858777428493,161.78124385622968,5,1.0
semi_synthetic,Naive,0.1055753933591198,0.0366273171849896,0.0689480761741302,0.0689480761741302,188.242223217992,6,1.0
semi_synthetic,OLS,0.0928387869563395,0.0366273171849896,0.0562114697713498,0.0562114697713498,153.46870612294262,6,1.0
semi_synthetic,IPW,0.0927872829295261,0.0366273171849896,0.0561599657445364,0.0561599657445364,153.32808969025857,6,1.0
semi_synthetic,DML,0.0967007859289439,0.0366273171849896,0.0600734687439542,0.0600734687439542,164.01274611664184,6,1.0
semi_synthetic,Causal Forest,0.0940115097652856,0.0366273171849896,0.0573841925802959,0.0573841925802959,156.67047709356302,6,1.0
semi_synthetic,Naive,0.1085929406311907,0.036589000850503,0.0720039397806876,0.0720039397806876,196.7912162315784,7,1.0
semi_synthetic,OLS,0.0966111208167007,0.036589000850503,0.0600221199661976,0.0600221199661976,164.04416237392917,7,1.0
semi_synthetic,IPW,0.0969731934180576,0.036589000850503,0.0603841925675545,0.0603841925675545,165.0337291643324,7,1.0
semi_synthetic,DML,0.1005520802313273,0.036589000850503,0.0639630793808242,0.0639630793808242,174.81504794888323,7,1.0
semi_synthetic,Causal Forest,0.0999483161050698,0.036589000850503,0.0633593152545667,0.0633593152545667,173.16492328785614,7,1.0
